trip_id,invoice_status,invoice_no,invoice_date,blocked_reason
PP-OK,READY,INV-9001,2026-06-10T09:00:00+03:00,
PP-MISSING,NOT READY,,,
PP-LATE,READY,INV-9003,2026-06-10T08:00:00+03:00,
PP-REJECTED,BLOCKED,,,Rejected POD needs corrected document
PP-INVOICE-BLOCKER,BLOCKED,INV-9005,2026-06-10T09:00:00+04:00,Customer PO mismatch
PP-PENDING,ON HOLD,,,Approval pending after resubmission
PP-CRITICAL,NOT READY,,,
PP-NOT-REQUIRED,INVOICED,INV-9008,2026-06-10T09:30:00+04:00,
PP-NOT-DELIVERED,NOT READY,,,

