trip_id,vehicle_id,origin,destination,planned_departure,promised_arrival,customer_name,carrier_name,city,vehicle_class,planned_city_entry,planned_city_exit
TRIP-CLEAR,VH-101,Dammam DC,Al Khobar Store,2026-06-01T05:00:00Z,2026-06-01T06:00:00Z,Gulf Fresh Foods,Gulf Bridge,Dammam,HEAVY,,
TRIP-CONFLICT,VH-102,Riyadh DC,Riyadh Mall,2026-06-01T07:30:00Z,2026-06-01T09:30:00Z,Najd Retail,Desert Falcon,Riyadh,HEAVY,,
TRIP-WATCH,VH-103,Jeddah Port,Jeddah Mall,2026-06-01T09:30:00Z,2026-06-01T10:35:00Z,Red Sea Pharma,Hejaz Line,Jeddah,LIGHT,,
TRIP-MISSING-CITY,VH-104,Depot A,Store B,2026-06-01T06:00:00Z,2026-06-01T08:00:00Z,Emirates Home,Desert Falcon,,HEAVY,,
TRIP-MISSING-TIME,VH-105,Dammam Port,Khobar Store,,,Eastern Foods,Gulf Bridge,Dammam,HEAVY,,
TRIP-UNKNOWN-CLASS,VH-106,Doha Hub,Doha Retail,2026-06-01T07:30:00Z,2026-06-01T08:30:00Z,GCC Electronics,Peninsula Freight,Doha,,,
TRIP-OVERNIGHT,VH-107,Muscat Port,Muscat DC,2026-06-01T23:30:00Z,2026-06-02T02:00:00Z,Oman Retail,Gulf Bridge,Muscat,HEAVY,,
TRIP-INACTIVE,VH-108,Kuwait DC,Kuwait Mall,2026-06-01T08:00:00Z,2026-06-01T09:00:00Z,Kuwait Retail,North Gulf,Kuwait City,HEAVY,,
TRIP-ETA,VH-109,Abu Dhabi Port,Abu Dhabi DC,2026-06-01T06:00:00Z,2026-06-01T08:00:00Z,Emirates Home,Desert Falcon,Abu Dhabi,HEAVY,,
TRIP-GENERIC,VH-110,Dubai JAFZA,Dubai Store,2026-06-01T11:15:00Z,2026-06-01T11:45:00Z,Emirates Home,Desert Falcon,Dubai,MEDIUM,,
TRIP-DATA-MISSING,,Riyadh DC,Riyadh Mall,2026-06-01T07:30:00Z,2026-06-01T08:30:00Z,Najd Retail,Desert Falcon,Riyadh,HEAVY,,
