trip_id,vehicle_id,geofence_id,geofence_name,geofence_type,enter_time,exit_time,dwell_minutes
DL-OK,VH-801,GF-DXB-SOUTH,Dubai South,ORIGIN,2026-06-05T06:30:00+04:00,2026-06-05T07:00:00+04:00,30
DL-OK,VH-801,GF-RUH-DRY,Riyadh Dry Port,DESTINATION,2026-06-05T16:45:00+03:00,2026-06-05T17:15:00+03:00,30
DL-LATE-DEP,VH-802,GF-JED-XD,Jeddah Crossdock,ORIGIN,2026-06-05T07:45:00+03:00,2026-06-05T08:45:00+03:00,60
DL-LATE-DEP,VH-802,GF-MED-STORE,Medina Store,CUSTOMER,2026-06-05T14:35:00+03:00,2026-06-05T15:05:00+03:00,30
DL-ORIGIN-DWELL,VH-803,GF-JED-PORT,Jeddah Port,PICKUP,2026-06-05T06:25:00+03:00,2026-06-05T08:00:00+03:00,95
DL-ORIGIN-DWELL,VH-803,GF-MAK-DC,Makkah DC,DELIVERY,2026-06-05T11:50:00+03:00,2026-06-05T12:30:00+03:00,40
DL-HUB-DWELL,VH-804,GF-RUH-HUB,Riyadh Hub,ORIGIN,2026-06-05T08:35:00+03:00,2026-06-05T09:00:00+03:00,25
DL-HUB-DWELL,VH-804,GF-HOFUF-XD,Hofuf Crossdock,HUB,2026-06-05T11:00:00+03:00,2026-06-05T14:00:00+03:00,180
DL-HUB-DWELL,VH-804,GF-DMM-HOSP,Dammam Hospital,DESTINATION,2026-06-05T16:30:00+03:00,2026-06-05T17:00:00+03:00,30
DL-ENROUTE,VH-805,GF-DMM-PORT,Dammam Port,ORIGIN,2026-06-05T05:35:00+03:00,2026-06-05T06:00:00+03:00,25
DL-ENROUTE,VH-805,GF-RUH-STORE,Riyadh Store,CUSTOMER,2026-06-05T15:05:00+03:00,2026-06-05T15:40:00+03:00,35
DL-DEST-DWELL,VH-806,GF-AUH-DC,Abu Dhabi DC,ORIGIN,2026-06-05T09:35:00+04:00,2026-06-05T10:00:00+04:00,25
DL-DEST-DWELL,VH-806,GF-DXB-MALL,Dubai Mall Receiving,DELIVERY,2026-06-05T12:50:00+04:00,2026-06-05T15:00:00+04:00,130
DL-BASELINE-MISSING,VH-808,GF-BAH-PORT,Bahrain Port,PORT,2026-06-05T06:00:00+03:00,2026-06-05T06:30:00+03:00,30
DL-BASELINE-MISSING,VH-808,GF-RUH-PARTS,Riyadh Parts DC,DESTINATION,2026-06-05T15:45:00+03:00,2026-06-05T16:15:00+03:00,30
