trip_id,vehicle_id,lane_id,customer_name,carrier_name,origin,destination,planned_departure,promised_arrival
GOOD-1,VH-G1,RUH-DMM,Gulf Fresh Foods,Gulf Bridge,Riyadh Dry Port,Dammam DC,2026-05-01T06:00:00+03:00,2026-05-01T20:00:00+03:00
GOOD-2,VH-G2,RUH-DMM,Gulf Fresh Foods,Gulf Bridge,Riyadh Dry Port,Dammam DC,2026-05-01T06:00:00+03:00,2026-05-01T20:00:00+03:00
GOOD-3,VH-G3,RUH-DMM,Gulf Fresh Foods,Gulf Bridge,Riyadh Dry Port,Dammam DC,2026-05-01T06:00:00+03:00,2026-05-01T20:00:00+03:00
GOOD-4,VH-G4,RUH-DMM,Gulf Fresh Foods,Gulf Bridge,Riyadh Dry Port,Dammam DC,2026-05-01T06:00:00+03:00,2026-05-01T20:00:00+03:00
GOOD-5,VH-G5,RUH-DMM,Gulf Fresh Foods,Gulf Bridge,Riyadh Dry Port,Dammam DC,2026-05-01T06:00:00+03:00,2026-05-01T20:00:00+03:00
LOW-1,VH-L1,JED-RUH,Red Sea Pharma,Hejaz Line,Jeddah Port,Riyadh DC,2026-05-01T08:00:00+03:00,2026-05-01T20:00:00+03:00
LOW-2,VH-L2,JED-RUH,Red Sea Pharma,Hejaz Line,Jeddah Port,Riyadh DC,2026-05-01T08:00:00+03:00,2026-05-01T20:00:00+03:00
UNSTABLE-1,VH-U1,DOH-MCT,GCC Electronics,Gulf Bridge,Doha Hub,Muscat DC,2026-05-01T06:00:00+03:00,2026-05-01T22:00:00+03:00
UNSTABLE-2,VH-U2,DOH-MCT,GCC Electronics,Gulf Bridge,Doha Hub,Muscat DC,2026-05-01T06:00:00+03:00,2026-05-01T22:00:00+03:00
UNSTABLE-3,VH-U3,DOH-MCT,GCC Electronics,Gulf Bridge,Doha Hub,Muscat DC,2026-05-01T06:00:00+03:00,2026-05-01T22:00:00+03:00
UNSTABLE-4,VH-U4,DOH-MCT,GCC Electronics,Gulf Bridge,Doha Hub,Muscat DC,2026-05-01T06:00:00+03:00,2026-05-01T22:00:00+03:00
UNSTABLE-5,VH-U5,DOH-MCT,GCC Electronics,Gulf Bridge,Doha Hub,Muscat DC,2026-05-01T06:00:00+03:00,2026-05-01T22:00:00+03:00
OUT-1,VH-O1,DXB-AUH,Emirates Home,Desert Falcon,Dubai JAFZA,Abu Dhabi Store,2026-05-01T09:00:00+04:00,2026-05-01T14:00:00+04:00
OUT-2,VH-O2,DXB-AUH,Emirates Home,Desert Falcon,Dubai JAFZA,Abu Dhabi Store,2026-05-01T09:00:00+04:00,2026-05-01T14:00:00+04:00
OUT-3,VH-O3,DXB-AUH,Emirates Home,Desert Falcon,Dubai JAFZA,Abu Dhabi Store,2026-05-01T09:00:00+04:00,2026-05-01T14:00:00+04:00
OUT-4,VH-O4,DXB-AUH,Emirates Home,Desert Falcon,Dubai JAFZA,Abu Dhabi Store,2026-05-01T09:00:00+04:00,2026-05-01T14:00:00+04:00
OUT-5,VH-O5,DXB-AUH,Emirates Home,Desert Falcon,Dubai JAFZA,Abu Dhabi Store,2026-05-01T09:00:00+04:00,2026-05-01T14:00:00+04:00
MISS-ORIGIN,VH-MO,KWI-DOH,Kuwait Retail,Peninsula Freight,Kuwait DC,Doha Retail Hub,2026-05-01T06:00:00+03:00,2026-05-01T18:00:00+03:00
MISS-DEST,VH-MD,KWI-DOH,Kuwait Retail,Peninsula Freight,Kuwait DC,Doha Retail Hub,2026-05-01T06:00:00+03:00,2026-05-01T18:00:00+03:00
CHECK-VALID,VH-CV,KWI-DOH,Kuwait Retail,Peninsula Freight,Kuwait DC,Doha Retail Hub,2026-05-01T06:00:00+03:00,2026-05-01T18:00:00+03:00
NEGATIVE,VH-NG,BAH-DMM,Saudi Parts,Causeway Logistics,Bahrain Hub,Dammam DC,2026-05-01T06:00:00+03:00,2026-05-01T18:00:00+03:00
NO-BASE,VH-NB,MED-TAB,Arabian Retail,Northwest Freight,Medina DC,Tabuk Store,2026-05-01T06:00:00+03:00,2026-05-01T18:00:00+03:00
